File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tlsf.o,27.339079%,6218,0,5576,642,0,0
mc_w.l,11.950404%,2718,0,2718,0,0,0
printfa.o,10.077383%,2292,0,2292,0,0,0
stm32f10x_tim.o,9.514597%,2164,0,2148,16,0,0
mcu_events.o,7.562434%,1720,32,1712,0,8,24
mf_w.l,4.686950%,1066,0,1066,0,0,0
stm32f10x_nvic.o,4.361590%,992,0,992,0,0,0
stm32f10x_rcc.o,4.009849%,912,0,892,20,0,0
stm32f10x_usart.o,3.534998%,804,0,804,0,0,0
stm32f10x_gpio.o,3.236018%,736,0,736,0,0,0
dadd.o,1.468519%,334,0,334,0,0,0
serial.o,1.195920%,272,8,264,0,8,0
stm32f10x.o,1.160746%,264,512,28,236,0,512
dmul.o,1.002462%,228,0,228,0,0,0
ddiv.o,0.976082%,222,0,222,0,0,0
mcu_loger.o,0.940907%,214,0,156,58,0,0
stm32f10x_systick.o,0.861766%,196,0,196,0,0,0
mcu_libs.o,0.835385%,190,8196,100,86,4,8192
depilogue.o,0.817798%,186,0,186,0,0,0
timertest.o,0.791418%,180,0,180,0,0,0
main.o,0.773830%,176,0,176,0,0,0
cortexm3_macro_rvds.o,0.483644%,110,0,110,0,0,0
uldiv.o,0.430883%,98,0,98,0,0,0
dfixul.o,0.211045%,48,0,48,0,0,0
cdrcmple.o,0.211045%,48,0,48,0,0,0
uidiv.o,0.193458%,44,0,44,0,0,0
memseta.o,0.158284%,36,0,36,0,0,0
memcpya.o,0.158284%,36,0,36,0,0,0
llsshr.o,0.158284%,36,0,36,0,0,0
init.o,0.158284%,36,0,36,0,0,0
llushr.o,0.140696%,32,0,32,0,0,0
llshl.o,0.131903%,30,0,30,0,0,0
handlers.o,0.131903%,30,0,30,0,0,0
stm32f1xx_it.o,0.123109%,28,0,28,0,0,0
strcat.o,0.105522%,24,0,24,0,0,0
entry9a.o,0.035174%,8,0,8,0,0,0
entry2.o,0.035174%,8,0,8,0,0,0
entry5.o,0.017587%,4,0,4,0,0,0
entry12b.o,0.017587%,4,0,4,0,0,0
